"study_id","cell_id","cell_class","variant_id","scenario_id","n_x","n_y","expected_units","successful_units","numerical_failure_units","numerical_failure_rate"
"main_final_v003","M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,2032,2032,0,0
"main_final_v003","M002_LN_EQUAL_n100","benchmark","main_primary","LN_EQUAL",100,100,2032,2032,0,0
"main_final_v003","M003_LN_EQUAL_n250","benchmark","main_primary","LN_EQUAL",250,250,2032,2032,0,0
"main_final_v003","M004_LN_EQUAL_n500","benchmark","main_primary","LN_EQUAL",500,500,2032,2032,0,0
"main_final_v003","M005_LN_NO_ROOT_n50","benchmark","main_primary","LN_NO_ROOT",50,50,2032,2032,0,0
"main_final_v003","M006_LN_NO_ROOT_n100","benchmark","main_primary","LN_NO_ROOT",100,100,2032,2032,0,0
"main_final_v003","M007_LN_NO_ROOT_n250","benchmark","main_primary","LN_NO_ROOT",250,250,2032,2032,0,0
"main_final_v003","M008_LN_NO_ROOT_n500","benchmark","main_primary","LN_NO_ROOT",500,500,2032,2032,0,0
"main_final_v003","M009_MIXED_SIGN_n100","benchmark","main_primary","MIXED_SIGN",100,100,2032,2032,0,0
"main_final_v003","M010_MIXED_SIGN_n250","benchmark","main_primary","MIXED_SIGN",250,250,2032,2032,0,0
"main_final_v003","M011_LN_MODERATE_n100","power","main_primary","LN_MODERATE",100,100,2032,2032,0,0
"main_final_v003","M012_LN_MODERATE_n250","power","main_primary","LN_MODERATE",250,250,2032,2032,0,0
"main_final_v003","M013_LN_MODERATE_n500","power","main_primary","LN_MODERATE",500,500,2032,2032,0,0
"main_final_v003","M014_LN_MODERATE_n1000","power","main_primary","LN_MODERATE",1000,1000,2032,2032,0,0
"main_final_v003","M015_LN_WEAK_n100","power","main_primary","LN_WEAK",100,100,2032,2032,0,0
"main_final_v003","M016_LN_WEAK_n250","power","main_primary","LN_WEAK",250,250,2032,2032,0,0
"main_final_v003","M017_LN_WEAK_n500","power","main_primary","LN_WEAK",500,500,2032,2032,0,0
"main_final_v003","M018_LN_WEAK_n1000","power","main_primary","LN_WEAK",1000,1000,2032,2032,0,0
"main_final_v003","M019_RARE_CROSSING_P05_n100","power","main_primary","RARE_CROSSING_P05",100,100,2032,2032,0,0
"main_final_v003","M020_RARE_CROSSING_P05_n250","power","main_primary","RARE_CROSSING_P05",250,250,2032,2032,0,0
"main_final_v003","M021_RARE_CROSSING_P05_n500","power","main_primary","RARE_CROSSING_P05",500,500,2032,2032,0,0
"main_final_v003","M022_RARE_CROSSING_P05_n1000","power","main_primary","RARE_CROSSING_P05",1000,1000,2032,2032,0,0
"main_final_v003","M023_TANGENCY_STRONG_n500","stress","main_primary","TANGENCY_STRONG",500,500,2032,2032,0,0
"main_final_v003","M024_TANGENCY_STRONG_n1000","stress","main_primary","TANGENCY_STRONG",1000,1000,2032,2032,0,0
"main_final_v003","M025_TWO_ROOT_STRONG_n500","stress","main_primary","TWO_ROOT_STRONG",500,500,2032,2032,0,0
"main_final_v003","M026_TWO_ROOT_STRONG_n1000","stress","main_primary","TWO_ROOT_STRONG",1000,1000,2032,2032,0,0
"main_final_v003","M027_LN_HIGH_VARIANCE_n250","stress","main_primary","LN_HIGH_VARIANCE",250,250,2032,2032,0,0
"main_final_v003","M028_LN_HIGH_VARIANCE_n500","stress","main_primary","LN_HIGH_VARIANCE",500,500,2032,2032,0,0
"main_final_v003","M029_LN_HIGH_VARIANCE_n1000","stress","main_primary","LN_HIGH_VARIANCE",1000,1000,2032,2032,0,0
"main_final_v003","M030_RARE_EQUAL_P01_n100","stress","main_primary","RARE_EQUAL_P01",100,100,2032,2032,0,0
"main_final_v003","M031_RARE_EQUAL_P01_n250","stress","main_primary","RARE_EQUAL_P01",250,250,2032,2032,0,0
"main_final_v003","M032_RARE_EQUAL_P01_n500","stress","main_primary","RARE_EQUAL_P01",500,500,2032,2032,0,0
"main_final_v003","M033_RARE_NO_ROOT_P01_n100","stress","main_primary","RARE_NO_ROOT_P01",100,100,2032,2032,0,0
"main_final_v003","M034_RARE_NO_ROOT_P01_n250","stress","main_primary","RARE_NO_ROOT_P01",250,250,2032,2032,0,0
"main_final_v003","M035_RARE_NO_ROOT_P01_n500","stress","main_primary","RARE_NO_ROOT_P01",500,500,2032,2032,0,0
"main_final_v003","M036_RARE_CROSSING_P01_n100","stress","main_primary","RARE_CROSSING_P01",100,100,2032,2032,0,0
"main_final_v003","M037_RARE_CROSSING_P01_n250","stress","main_primary","RARE_CROSSING_P01",250,250,2032,2032,0,0
"main_final_v003","M038_RARE_CROSSING_P01_n500","stress","main_primary","RARE_CROSSING_P01",500,500,2032,2032,0,0
"main_final_v003","M039_RARE_CROSSING_P01_n1000","stress","main_primary","RARE_CROSSING_P01",1000,1000,2032,2032,0,0
"main_final_v003","M040_TANGENCY_n500","stress","main_primary","TANGENCY",500,500,2032,2032,0,0
"main_final_v003","M041_TANGENCY_n1000","stress","main_primary","TANGENCY",1000,1000,2032,2032,0,0
"main_final_v003","M042_TWO_ROOT_n500","stress","main_primary","TWO_ROOT",500,500,2032,2032,0,0
"main_final_v003","M043_TWO_ROOT_n1000","stress","main_primary","TWO_ROOT",1000,1000,2032,2032,0,0
"main_final_v003","M044_PARETO_n250","stress","main_primary","PARETO",250,250,2032,2032,0,0
"main_final_v003","M045_PARETO_n500","stress","main_primary","PARETO",500,500,2032,2032,0,0
"main_final_v003","M046_PARETO_n1000","stress","main_primary","PARETO",1000,1000,2032,2032,0,0
"main_final_v003","M047_RARE_CROSSING_P01_nx100_ny400","stress","main_primary","RARE_CROSSING_P01",100,400,2032,2032,0,0
"main_final_v003","M048_RARE_CROSSING_P01_nx400_ny100","stress","main_primary","RARE_CROSSING_P01",400,100,2032,2032,0,0
"main_final_v003","M049_TANGENCY_SV_POWER_n2000","power","main_primary","TANGENCY_SV_POWER",2000,2000,2032,2032,0,0
"main_final_v003","M050_TANGENCY_SV_POWER_n4000","power","main_primary","TANGENCY_SV_POWER",4000,4000,2032,2032,0,0
"main_final_v003","M051_TANGENCY_SV_POWER_n8000","power","main_primary","TANGENCY_SV_POWER",8000,8000,2032,2032,0,0
"main_final_v003","M052_TWO_ROOT_SV_POWER_n2000","power","main_primary","TWO_ROOT_SV_POWER",2000,2000,2032,2032,0,0
"main_final_v003","M053_TWO_ROOT_SV_POWER_n4000","power","main_primary","TWO_ROOT_SV_POWER",4000,4000,2032,2032,0,0
"main_final_v003","M054_TWO_ROOT_SV_POWER_n8000","power","main_primary","TWO_ROOT_SV_POWER",8000,8000,2032,2032,0,0
