"study_id","cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","root_collection_applicable_replications","root_collection_joint_isolation_reports","root_collection_joint_isolation_report_rate","root_collection_conditional_replication_denominator","root_collection_error_denominator","root_collection_bias_conditional_on_joint_isolation","root_collection_rmse_conditional_on_joint_isolation","wald_report_rate","wald_applicable_replications","wald_report_count","wald_conditional_coverage","wald_conditional_coverage_denominator","wald_conditional_coverage_count","wald_report_and_cover_rate","wald_report_and_cover_denominator","wald_report_and_cover_count","root_multiplier_report_rate","root_multiplier_applicable_replications","root_multiplier_report_count","root_multiplier_conditional_coverage","root_multiplier_conditional_coverage_denominator","root_multiplier_conditional_coverage_count","root_multiplier_report_and_cover_rate","root_multiplier_report_and_cover_denominator","root_multiplier_report_and_cover_count","source_interval_ids","source_interval_count"
"main_final_v003","M011_LN_MODERATE_n100","power","main_primary","LN_MODERATE",100,100,"absolute",2032,1071,0.527066929133858,1071,1071,-0.00132193869810779,0.32257932525204,0.527066929133858,2032,1071,1,1071,1071,0.527066929133858,2032,1071,0.527066929133858,2032,1071,1,1071,1071,0.527066929133858,2032,1071,"K2;K3",2
"main_final_v003","M012_LN_MODERATE_n250","power","main_primary","LN_MODERATE",250,250,"absolute",2032,1516,0.746062992125984,1516,1516,-0.00975842433834774,0.295292729114053,0.746062992125984,2032,1516,1,1516,1516,0.746062992125984,2032,1516,0.746062992125984,2032,1516,1,1516,1516,0.746062992125984,2032,1516,"K2;K3",2
"main_final_v003","M013_LN_MODERATE_n500","power","main_primary","LN_MODERATE",500,500,"absolute",2032,1805,0.888287401574803,1805,1805,-0.0065156932313353,0.280408148779545,0.888287401574803,2032,1805,1,1805,1805,0.888287401574803,2032,1805,0.888287401574803,2032,1805,1,1805,1805,0.888287401574803,2032,1805,"K2;K3",2
"main_final_v003","M014_LN_MODERATE_n1000","power","main_primary","LN_MODERATE",1000,1000,"absolute",2032,1974,0.971456692913386,1974,1974,-0.00674996686962322,0.231164872968729,0.971456692913386,2032,1974,0.975177304964539,1974,1925,0.947342519685039,2032,1925,0.971456692913386,2032,1974,0.976190476190476,1974,1927,0.948326771653543,2032,1927,"K2;K3",2
"main_final_v003","M015_LN_WEAK_n100","power","main_primary","LN_WEAK",100,100,"absolute",2032,390,0.191929133858268,390,390,-0.0515942489737577,0.335853320931976,0.191929133858268,2032,390,1,390,390,0.191929133858268,2032,390,0.191929133858268,2032,390,1,390,390,0.191929133858268,2032,390,"K2;K3",2
"main_final_v003","M016_LN_WEAK_n250","power","main_primary","LN_WEAK",250,250,"absolute",2032,486,0.239173228346457,486,486,-0.0292836131354724,0.317933383607865,0.239173228346457,2032,486,1,486,486,0.239173228346457,2032,486,0.239173228346457,2032,486,1,486,486,0.239173228346457,2032,486,"K2;K3",2
"main_final_v003","M017_LN_WEAK_n500","power","main_primary","LN_WEAK",500,500,"absolute",2032,593,0.291830708661417,593,593,-0.0603535493491564,0.331343056990826,0.291830708661417,2032,593,1,593,593,0.291830708661417,2032,593,0.291830708661417,2032,593,1,593,593,0.291830708661417,2032,593,"K2;K3",2
"main_final_v003","M018_LN_WEAK_n1000","power","main_primary","LN_WEAK",1000,1000,"absolute",2032,775,0.381397637795276,775,775,-0.0617224120085553,0.320526521299909,0.381397637795276,2032,775,1,775,775,0.381397637795276,2032,775,0.381397637795276,2032,775,1,775,775,0.381397637795276,2032,775,"K2;K3",2
"main_final_v003","M019_RARE_CROSSING_P05_n100","power","main_primary","RARE_CROSSING_P05",100,100,"absolute",2032,1445,0.711122047244094,1445,1445,-0.0135949079833992,0.252906620077648,0.711122047244094,2032,1445,1,1445,1445,0.711122047244094,2032,1445,0.711122047244094,2032,1445,1,1445,1445,0.711122047244094,2032,1445,"K1;K2;K3",3
"main_final_v003","M020_RARE_CROSSING_P05_n250","power","main_primary","RARE_CROSSING_P05",250,250,"absolute",2032,1830,0.900590551181102,1830,1830,-0.00415666429063499,0.21618065879068,0.900590551181102,2032,1830,1,1830,1830,0.900590551181102,2032,1830,0.900590551181102,2032,1830,1,1830,1830,0.900590551181102,2032,1830,"K1;K2;K3",3
"main_final_v003","M021_RARE_CROSSING_P05_n500","power","main_primary","RARE_CROSSING_P05",500,500,"absolute",2032,1992,0.980314960629921,1992,1992,0.0036646803932975,0.178645283667424,0.980314960629921,2032,1992,0.977911646586345,1992,1948,0.958661417322835,2032,1948,0.980314960629921,2032,1992,0.97640562248996,1992,1945,0.957185039370079,2032,1945,"K1;K2;K3",3
"main_final_v003","M022_RARE_CROSSING_P05_n1000","power","main_primary","RARE_CROSSING_P05",1000,1000,"absolute",2032,2029,0.998523622047244,2029,2029,0.00414342006397562,0.136071428523085,0.998523622047244,2032,2029,0.951700344997536,2029,1931,0.950295275590551,2032,1931,0.998523622047244,2032,2029,0.950221784130113,2029,1928,0.948818897637795,2032,1928,"K1;K2;K3",3
"main_final_v003","M025_TWO_ROOT_STRONG_n500","stress","main_primary","TWO_ROOT_STRONG",500,500,"absolute",2032,136,0.0669291338582677,136,272,-0.030160222006633,0.220389102548548,0.0669291338582677,2032,136,1,136,136,0.0669291338582677,2032,136,0.0669291338582677,2032,136,1,136,136,0.0669291338582677,2032,136,"K3",1
"main_final_v003","M026_TWO_ROOT_STRONG_n1000","stress","main_primary","TWO_ROOT_STRONG",1000,1000,"absolute",2032,221,0.108759842519685,221,442,-0.0341003097195869,0.222029318365672,0.108759842519685,2032,221,1,221,221,0.108759842519685,2032,221,0.108759842519685,2032,221,1,221,221,0.108759842519685,2032,221,"K3",1
"main_final_v003","M027_LN_HIGH_VARIANCE_n250","stress","main_primary","LN_HIGH_VARIANCE",250,250,"absolute",2032,1579,0.777066929133858,1579,1579,-0.0316058913455124,0.285884817448591,0.777066929133858,2032,1579,0.978467384420519,1579,1545,0.760334645669291,2032,1545,0.777066929133858,2032,1579,0.978467384420519,1579,1545,0.760334645669291,2032,1545,"K2;K3",2
"main_final_v003","M028_LN_HIGH_VARIANCE_n500","stress","main_primary","LN_HIGH_VARIANCE",500,500,"absolute",2032,1834,0.90255905511811,1834,1834,-0.00659605003116082,0.251152954608078,0.90255905511811,2032,1834,0.969465648854962,1834,1778,0.875,2032,1778,0.90255905511811,2032,1834,0.968920392584515,1834,1777,0.874507874015748,2032,1777,"K2;K3",2
