"study_id","cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_id","tail_count_stratum","replications","continuum_band_coverage","any_primary_false_report_rate","reversal_certification_rate","exact_count_certification_rate","derivative_assisted_local_exact_root_certification_rate","derivative_assisted_false_exact_root_report_rate","mean_y_ess_ratio_upper","mean_y_max_share_upper","continuum_band_coverage_denominator","continuum_band_coverage_mcse","continuum_band_coverage_wilson_lower","continuum_band_coverage_wilson_upper","any_primary_false_report_rate_denominator","any_primary_false_report_rate_mcse","any_primary_false_report_rate_wilson_lower","any_primary_false_report_rate_wilson_upper","reversal_certification_rate_denominator","reversal_certification_rate_mcse","reversal_certification_rate_wilson_lower","reversal_certification_rate_wilson_upper","exact_count_certification_rate_denominator","exact_count_certification_rate_mcse","exact_count_certification_rate_wilson_lower","exact_count_certification_rate_wilson_upper","derivative_assisted_local_exact_root_certification_rate_denominator","derivative_assisted_local_exact_root_certification_rate_mcse","derivative_assisted_local_exact_root_certification_rate_wilson_lower","derivative_assisted_local_exact_root_certification_rate_wilson_upper","derivative_assisted_false_exact_root_report_rate_denominator","derivative_assisted_false_exact_root_report_rate_mcse","derivative_assisted_false_exact_root_report_rate_wilson_lower","derivative_assisted_false_exact_root_report_rate_wilson_upper"
"main_final_v003","M019_RARE_CROSSING_P05_n100","power","main_primary","RARE_CROSSING_P05",100,100,"absolute","K1","0",8,0,1,0,0,,,0.992899332836655,0.0114882029714409,8,0,0,0.32440756488388,8,0,0.67559243511612,1,8,0,0,0.32440756488388,8,0,0,0.32440756488388,0,,,,0,,,
"main_final_v003","M030_RARE_EQUAL_P01_n100","stress","main_primary","RARE_EQUAL_P01",100,100,"absolute","K1","0",759,0.936758893280632,0.0632411067193676,0,0,,,0.992657269665186,0.0114932307583966,759,0.00883471929417979,0.917147947540902,0.951971044791997,759,0.0088347192941798,0.0480289552080032,0.0828520524590982,759,0,0,0.00503572370939668,759,0,0,0.00503572370939668,0,,,,0,,,
"main_final_v003","M031_RARE_EQUAL_P01_n250","stress","main_primary","RARE_EQUAL_P01",250,250,"absolute","K1","0",171,0.801169590643275,0.198830409356725,0,0,,,0.992595061883961,0.00460384317682294,171,0.0305214791276399,0.735023475826485,0.854081652297789,171,0.0305214791276399,0.145918347702211,0.264976524173515,171,0,0,0.0219710979684382,171,0,0,0.0219710979684382,0,,,,0,,,
"main_final_v003","M032_RARE_EQUAL_P01_n500","stress","main_primary","RARE_EQUAL_P01",500,500,"absolute","K1","0",20,0.45,0.55,0,0,,,0.992618931710787,0.00230498982851738,20,0.111242977306435,0.258197858255624,0.657914657549658,20,0.111242977306435,0.342085342450342,0.741802141744376,20,0,0,0.161125158052819,20,0,0,0.161125158052819,0,,,,0,,,
"main_final_v003","M033_RARE_NO_ROOT_P01_n100","stress","main_primary","RARE_NO_ROOT_P01",100,100,"absolute","K1","0",718,0,0.186629526462396,0,0,,,0.992633961849626,0.0114927153206611,718,0,0,0.00532174866621002,718,0.0145402594641657,0.159825869021804,0.216768541702144,718,0,0,0.00532174866621002,718,0,0,0.00532174866621002,0,,,,0,,,
"main_final_v003","M034_RARE_NO_ROOT_P01_n250","stress","main_primary","RARE_NO_ROOT_P01",250,250,"absolute","K1","0",161,0,0.664596273291925,0,0,,,0.99258425697576,0.00460281962887316,161,0,0,0.023303960351823,161,0.0372091676089591,0.588584675716254,0.732936380813891,161,0,0,0.023303960351823,161,0,0,0.023303960351823,0,,,,0,,,
"main_final_v003","M035_RARE_NO_ROOT_P01_n500","stress","main_primary","RARE_NO_ROOT_P01",500,500,"absolute","K1","0",17,0,1,0,0,,,0.99264734750111,0.00230524902363812,17,0,1.38777878078145e-17,0.184318135008852,17,0,0.815681864991148,1,17,0,1.38777878078145e-17,0.184318135008852,17,0,1.38777878078145e-17,0.184318135008852,0,,,,0,,,
"main_final_v003","M036_RARE_CROSSING_P01_n100","stress","main_primary","RARE_CROSSING_P01",100,100,"absolute","K1","0",761,0,0.678055190538765,0,0,,,0.992691546102094,0.0114908311572161,761,0,0,0.00502255568966836,761,0.0169367823997974,0.644036808573841,0.710284988283057,761,0,0,0.00502255568966836,761,0,0,0.00502255568966836,0,,,,0,,,
"main_final_v003","M037_RARE_CROSSING_P01_n250","stress","main_primary","RARE_CROSSING_P01",250,250,"absolute","K1","0",146,0,1,0,0,,,0.992551223863931,0.00460475102359983,146,0,0,0.0256368220846739,146,0,0.974363177915326,1,146,0,0,0.0256368220846739,146,0,0,0.0256368220846739,0,,,,0,,,
"main_final_v003","M038_RARE_CROSSING_P01_n500","stress","main_primary","RARE_CROSSING_P01",500,500,"absolute","K1","0",15,0,1,0,0,,,0.992502684517391,0.00230716284100864,15,0,2.77555756156289e-17,0.203883301035849,15,0,0.796116698964151,1,15,0,2.77555756156289e-17,0.203883301035849,15,0,2.77555756156289e-17,0.203883301035849,0,,,,0,,,
"main_final_v003","M047_RARE_CROSSING_P01_nx100_ny400","stress","main_primary","RARE_CROSSING_P01",100,400,"absolute","K1","0",37,0,0.621621621621622,0,0,,,0.992607838554822,0.002878784286173,37,0,0,0.0940578258372024,37,0.0797306582754116,0.461004304392177,0.759360008242017,37,0,0,0.0940578258372024,37,0,0,0.0940578258372024,0,,,,0,,,
"main_final_v003","M048_RARE_CROSSING_P01_nx400_ny100","stress","main_primary","RARE_CROSSING_P01",400,100,"absolute","K1","0",731,0,1,0,0,,,0.992639158793268,0.0114881996978818,731,0,0,0.00522760219171502,731,0,0.994772397808285,1,731,0,0,0.00522760219171502,731,0,0,0.00522760219171502,0,,,,0,,,
"main_final_v003","M019_RARE_CROSSING_P05_n100","power","main_primary","RARE_CROSSING_P05",100,100,"absolute","K2","0",8,0,1,0,0,,,0.987478471378068,0.0120129704811517,8,0,0,0.32440756488388,8,0,0.67559243511612,1,8,0,0,0.32440756488388,8,0,0,0.32440756488388,0,,,,0,,,
