"left","right","level","lower_bound","upper_bound","variance_lower_bound","band_lipschitz","positive","negative","outer","limit_hit","depth_limit_hit","node_limit_hit","variance_unresolved_at_limit","statistical_unresolved_at_limit","reason"
0.25,0.2525,0,0.0136155944378972,0.02743175389615,0.0866766547867952,0.287435023960334,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.2525,0.255,0,0.0137654577791519,0.0277463304100813,0.0887539362245671,0.290869694594624,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.255,0.2575,0,0.0139170220328319,0.0280647024972719,0.0908827375911709,0.29434693323999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.2575,0.26,0,0.0140703070793084,0.0283869180976099,0.0930643764216791,0.297867284701539,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.26,0.2625,0,0.0142253330378536,0.0287130257800561,0.0953002048564759,0.301431300951022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.2625,0.265,0,0.0143821202695858,0.0290430747511528,0.0975916105711992,0.30503954122331,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.265,0.2675,0,0.014540689380452,0.0293771148636489,0.0999400177321613,0.308692572114201,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.2675,0.27,0,0.014701061224248,0.0297151966252454,0.102346887977961,0.312390967679559,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.27,0.2725,0,0.0148632569056768,0.0300573712074617,0.104813721428012,0.316135309535822,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.2725,0.275,0,0.0150272977834449,0.0304036904546249,0.107342057718749,0.319926186961894,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.275,0.2775,0,0.0151932054733985,0.0307542068929835,0.109933477068263,0.323764197002424,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.2775,0.28,0,0.0153610018516989,0.0311089737399474,0.112589601370185,0.327649944572521,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.28,0.2825,0,0.0155307090580379,0.0314680449134564,0.115312095317608,0.331584042563893,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.2825,0.285,0,0.0157023494988938,0.0318314750414783,0.11810266755791,0.335567111952456,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.285,0.2875,0,0.0158759458508288,0.0321993194716387,0.120963071879321,0.339599781907418,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.2875,0.29,0,0.0160515210638278,0.0325716342809848,0.123895108430132,0.343682689901863,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.29,0.2925,0,0.0162290983646794,0.0329484762858843,0.12690062497146,0.347816481824862,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
0.2925,0.295,0,0.0164087012603998,0.0333299030520621,0.129981518164495,0.352001812095117,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"certified_positive"
