"role","segment","order","diagnostic_target","power_exponent","n","n_positive","ess","ess_ratio","ess_ratio_among_positive","maximum_share","top_1pct_share","top_1_contributor_share","top_5_contributors_share","top_10_contributors_share","top_10pct_positive_share"
"X","No E-Mail",0.25,"estimand_moment",0.25,21306,122,117.147019262954,0.00549831123922624,0.960221469368477,0.0126013069147643,1,0.0126013069147643,0.0615919728190496,0.118570521373669,0.149870639333667
"X","No E-Mail",0.25,"second_moment",0.5,21306,122,103.681367471283,0.00486629904586891,0.849847274354778,0.0186021191277373,1,0.0186021191277373,0.0889213790798736,0.165096098700254,0.203355551579803
"X","No E-Mail",0.5,"estimand_moment",0.5,21306,122,103.681367471283,0.00486629904586891,0.849847274354778,0.0186021191277373,1,0.0186021191277373,0.0889213790798736,0.165096098700254,0.203355551579803
"X","No E-Mail",0.5,"second_moment",1,21306,122,67.4000867522617,0.0031634322140365,0.552459727477555,0.0358777797190604,1,0.0358777797190604,0.164256959678121,0.285245604612488,0.335851967849483
"X","No E-Mail",0.75,"estimand_moment",0.75,21306,122,85.5858034158703,0.00401698129239981,0.701522978818609,0.0263576184138472,1,0.0263576184138472,0.123276522270546,0.221159067345096,0.266050709200594
"X","No E-Mail",0.75,"second_moment",1.5,21306,122,39.9518334611517,0.0018751447226674,0.327474044763538,0.0594585158389174,1,0.0594585158389174,0.261176481915425,0.427123126128582,0.484660063101727
"X","No E-Mail",1,"estimand_moment",1,21306,122,67.4000867522617,0.0031634322140365,0.552459727477555,0.0358777797190604,1,0.0358777797190604,0.164256959678121,0.285245604612488,0.335851967849483
"X","No E-Mail",1,"second_moment",2,21306,122,24.8341828104382,0.0011655957387796,0.203558875495395,0.0867584078969985,1,0.0867584078969985,0.36627381640468,0.567575516447764,0.625192278816702
"X","No E-Mail",1.25,"estimand_moment",1.25,21306,122,51.918733062608,0.00243681277868244,0.425563385759082,0.0470092619848292,1,0.0470092619848292,0.21076452897963,0.354897553358062,0.409816312636552
"X","No E-Mail",1.25,"second_moment",2.5,21306,122,16.9979019573983,0.00079779883400912,0.139327065224576,0.114733687617806,1,0.114733687617806,0.466332762909537,0.688535151447923,0.740845290398078
"X","No E-Mail",1.5,"estimand_moment",1.5,21306,122,39.9518334611517,0.0018751447226674,0.327474044763538,0.0594585158389174,1,0.0594585158389174,0.261176481915425,0.427123126128582,0.484660063101727
"X","No E-Mail",1.5,"second_moment",3,21306,122,12.7556120680297,0.000598686382616621,0.104554197278932,0.141242320338289,1,0.141242320338289,0.553604437619455,0.782741320791654,0.826966734238182
"Y","Mens E-Mail",0.25,"estimand_moment",0.25,21307,267,254.10781557121,0.0119260250420618,0.951714665060713,0.0058413585584445,0.846711803402846,0.0058413585584445,0.0292067927922225,0.0575577108138048,0.147453343974451
"Y","Mens E-Mail",0.25,"second_moment",0.5,21307,267,218.977194997312,0.0102772419860756,0.820139307106037,0.00867053215706938,0.887342636592755,0.00867053215706938,0.0433526607853469,0.0842213543530435,0.205114101099232
"Y","Mens E-Mail",0.5,"estimand_moment",0.5,21307,267,218.977194997312,0.0102772419860756,0.820139307106037,0.00867053215706938,0.887342636592755,0.00867053215706938,0.0433526607853469,0.0842213543530435,0.205114101099232
"Y","Mens E-Mail",0.5,"second_moment",1,21307,267,135.936561706964,0.00637990152095385,0.509125699277017,0.016462295569795,0.947562475071499,0.016462295569795,0.0823114778489751,0.15560201361257,0.344465782013474
"Y","Mens E-Mail",0.75,"estimand_moment",0.75,21307,267,175.373823672803,0.00823080788814955,0.656830800272669,0.0122386269875084,0.921265421270033,0.0122386269875084,0.0611931349375421,0.117243553245282,0.271970717943664
"Y","Mens E-Mail",0.75,"second_moment",1.5,21307,267,82.8710092284327,0.00388937951041595,0.310378311716976,0.0262681911458601,0.979487437483763,0.0262681911458601,0.131340955729301,0.242014322932285,0.490758307372005
"Y","Mens E-Mail",1,"estimand_moment",1,21307,267,135.936561706964,0.00637990152095385,0.509125699277017,0.016462295569795,0.947562475071499,0.016462295569795,0.0823114778489751,0.15560201361257,0.344465782013474
"Y","Mens E-Mail",1,"second_moment",2,21307,267,55.0080078670908,0.00258168713883188,0.206022501374872,0.0368397836255021,0.992947472624335,0.0368397836255021,0.18419891812751,0.331372934939755,0.620189856313513
"Y","Mens E-Mail",1.25,"estimand_moment",1.25,21307,267,105.278226961889,0.00494101595540852,0.394300475512695,0.0211950354077939,0.966572421589578,0.0211950354077939,0.105975177038969,0.197747932464078,0.418577359580292
"Y","Mens E-Mail",1.25,"second_moment",2.5,21307,267,39.8023418739521,0.00186804063800404,0.149072441475476,0.0472940879896443,0.997780411198644,0.0472940879896443,0.236470439948222,0.415971750076393,0.723843755547821
"Y","Mens E-Mail",1.5,"estimand_moment",1.5,21307,267,82.8710092284327,0.00388937951041595,0.310378311716976,0.0262681911458601,0.979487437483763,0.0262681911458601,0.131340955729301,0.242014322932285,0.490758307372005
"Y","Mens E-Mail",1.5,"second_moment",3,21307,267,30.8027560074632,0.00144566367895354,0.115366127368776,0.0571824769473215,0.999342089839414,0.0571824769473215,0.285912384736607,0.492504202251729,0.802468834515027
