"study_id","cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_scope","configured_interval_ids","metric","successes","denominator","estimate","mcse","wilson_lower","wilson_upper"
"enclosure_depth_v001","ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_band_covers_truth_on_grid",241,254,0.948818897637795,0.0138270528403126,0.914415573030546,0.969848738235835
"enclosure_depth_v001","ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_band_covers_truth_on_audit_grid",241,254,0.948818897637795,0.0138270528403126,0.914415573030546,0.969848738235835
"enclosure_depth_v001","ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_continuum_band_covers_truth",240,254,0.94488188976378,0.0143192101792767,0.909620805893771,0.966886800887817
"enclosure_depth_v001","ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_any_primary_false_report",10,254,0.0393700787401575,0.01220237417846,0.0215232688001508,0.0709423064790899
"enclosure_depth_v001","ED1_002_TANGENCY_SV_POWER_n2000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_band_covers_truth_on_grid",241,254,0.948818897637795,0.0138270528403126,0.914415573030546,0.969848738235835
"enclosure_depth_v001","ED1_002_TANGENCY_SV_POWER_n2000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_band_covers_truth_on_audit_grid",241,254,0.948818897637795,0.0138270528403126,0.914415573030546,0.969848738235835
"enclosure_depth_v001","ED1_002_TANGENCY_SV_POWER_n2000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_continuum_band_covers_truth",240,254,0.94488188976378,0.0143192101792767,0.909620805893771,0.966886800887817
"enclosure_depth_v001","ED1_002_TANGENCY_SV_POWER_n2000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_any_primary_false_report",10,254,0.0393700787401575,0.01220237417846,0.0215232688001508,0.0709423064790899
"enclosure_depth_v001","ED1_003_TANGENCY_SV_POWER_n4000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_band_covers_truth_on_grid",243,254,0.956692913385827,0.0127717057578547,0.924129107809858,0.975648612426109
"enclosure_depth_v001","ED1_003_TANGENCY_SV_POWER_n4000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_band_covers_truth_on_audit_grid",243,254,0.956692913385827,0.0127717057578547,0.924129107809858,0.975648612426109
"enclosure_depth_v001","ED1_003_TANGENCY_SV_POWER_n4000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_continuum_band_covers_truth",243,254,0.956692913385827,0.0127717057578547,0.924129107809858,0.975648612426109
"enclosure_depth_v001","ED1_003_TANGENCY_SV_POWER_n4000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_any_primary_false_report",6,254,0.0236220472440945,0.00952907819324417,0.0108701341887398,0.0505686231513296
"enclosure_depth_v001","ED1_004_TANGENCY_SV_POWER_n4000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_band_covers_truth_on_grid",243,254,0.956692913385827,0.0127717057578547,0.924129107809858,0.975648612426109
"enclosure_depth_v001","ED1_004_TANGENCY_SV_POWER_n4000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_band_covers_truth_on_audit_grid",243,254,0.956692913385827,0.0127717057578547,0.924129107809858,0.975648612426109
"enclosure_depth_v001","ED1_004_TANGENCY_SV_POWER_n4000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_continuum_band_covers_truth",243,254,0.956692913385827,0.0127717057578547,0.924129107809858,0.975648612426109
"enclosure_depth_v001","ED1_004_TANGENCY_SV_POWER_n4000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_any_primary_false_report",6,254,0.0236220472440945,0.00952907819324417,0.0108701341887398,0.0505686231513296
