"study_id","cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_scope","configured_interval_ids","configured_interval_count","expected_replications","successful_replications","complete_interval_replications","missing_component_replications","failed_or_missing_unit_replications","across_interval_joint_construction_grid_band_coverage","across_interval_joint_audit_grid_band_coverage","across_interval_joint_continuum_band_coverage","across_interval_joint_any_primary_false_report_rate"
"enclosure_depth_v001","ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K1",1,254,254,254,0,0,0.948818897637795,0.948818897637795,0.94488188976378,0.0393700787401575
"enclosure_depth_v001","ED1_002_TANGENCY_SV_POWER_n2000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K1",1,254,254,254,0,0,0.948818897637795,0.948818897637795,0.94488188976378,0.0393700787401575
"enclosure_depth_v001","ED1_003_TANGENCY_SV_POWER_n4000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K1",1,254,254,254,0,0,0.956692913385827,0.956692913385827,0.956692913385827,0.0236220472440945
"enclosure_depth_v001","ED1_004_TANGENCY_SV_POWER_n4000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K1",1,254,254,254,0,0,0.956692913385827,0.956692913385827,0.956692913385827,0.0236220472440945
"enclosure_depth_v001","ED1_005_TANGENCY_SV_POWER_n8000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K1",1,254,254,254,0,0,0.948818897637795,0.948818897637795,0.94488188976378,0.0393700787401575
"enclosure_depth_v001","ED1_006_TANGENCY_SV_POWER_n8000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K1",1,254,254,254,0,0,0.948818897637795,0.948818897637795,0.94488188976378,0.0393700787401575
"enclosure_depth_v001","ED1_007_TWO_ROOT_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K3",1,254,254,254,0,0,0.964566929133858,0.964566929133858,0.964566929133858,0.0275590551181102
"enclosure_depth_v001","ED1_008_TWO_ROOT_SV_POWER_n2000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K3",1,254,254,254,0,0,0.964566929133858,0.964566929133858,0.964566929133858,0.0275590551181102
"enclosure_depth_v001","ED1_009_TWO_ROOT_SV_POWER_n4000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K3",1,254,254,254,0,0,0.952755905511811,0.952755905511811,0.952755905511811,0.0354330708661417
"enclosure_depth_v001","ED1_010_TWO_ROOT_SV_POWER_n4000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K3",1,254,254,254,0,0,0.952755905511811,0.952755905511811,0.952755905511811,0.0354330708661417
"enclosure_depth_v001","ED1_011_TWO_ROOT_SV_POWER_n8000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K3",1,254,254,254,0,0,0.960629921259842,0.960629921259842,0.960629921259842,0.0236220472440945
"enclosure_depth_v001","ED1_012_TWO_ROOT_SV_POWER_n8000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K3",1,254,254,254,0,0,0.960629921259842,0.960629921259842,0.960629921259842,0.0236220472440945
